District	City	Population	Area	Population Density (p/sqmi)	Latitude	Longitude							
Danwon-gu	Ansan	335849	91.23	1421.374226	37.3194	126.8123						Rural	23
Sangnok-gu	Ansan	380574	57.83	2540.902344	37.3037673	126.867578						Suburban	17
Dongan-gu	Anyang	353381	21.92	6224.503233	37.3923137	126.9513089						Urban	60
Manan-gu	Anyang	265462	36.54	2805.019407	37.3863389	126.9324312							
Buk District	Busan	309602	39.44	3030.881121	35.1971	128.9904							
Busanjin District	Busan	394931	29.69	5135.85884	35.163	129.0532							
Dong District	Busan	101251	9.78	3997.261104	36.34639	127.415955							
Dongnae District	Busan	282732	16.63	6564.244778	35.2049	129.0836							
Gangseo District	Busan	62963	180.24	134.8764993	34.9912162	128.8505164							
Geumjeong District	Busan	255979	65.17	1516.556757	35.243	129.0923							
Haeundae District	Busan	425872	51.46	3195.29792	35.1631	129.1636							
Jung District	Busan	49011	2.82	6710.370611	37.5641	126.9979							
Nam District	Busan	296955	26.77	4282.962996	37.4637	126.6505							
Saha District	Busan	357060	40.96	3365.761233	35.1044	35.1044							
Sasang District	Busan	256347	36.06	2744.761214	35.1526	128.9908							
Seo District	Busan	124896	13.88	3474.250388	35.0977	129.0241							
Suyeong District	Busan	177575	10.2	6721.770848	35.1456	129.1131							
Yeongdo District	Busan	144852	14.13	3958.078337	35.0912	129.0681							
Yeonje District	Busan	214056	12.08	6841.676301	35.1762	129.0797							
Jinhae-gu	Changwon	179015	120.14	575.3125481	35.1357981	128.7230668							
Masanhappo-gu	Changwon	186757	240.23	300.1592275	35.1308487	128.5139656							
Masanhoewon-gu	Changwon	223956	90.58	954.6241942	35.2206	128.5795							
Seongsan-gu	Changwon	250103	82.09	1176.334127	35.1967469	128.6687216							
Uichang-gu	Changwon	250702	211.22	458.2735707	35.3054245	128.6387065							
Heungdeok-gu	Cheongju	256681	198.27	499.8489306	36.644984	127.4523884							
Sangdang-gu	Cheongju	179867	404.44	171.7115232	36.6220081	127.5005974							
Cheongwon-gu	Cheongju	162422	214.99	291.6947721	36.6647914	127.489736							
Seowon-gu	Cheongju	228659	114.88	768.5036318	36.6215027	127.4670973							
Dongnam-gu	Cheonan	250906	438.52	220.9142306	36.8068933	127.1506027							
Seobuk-gu	Cheonan	315577	197.7	616.3121439	36.8783935	127.1552727							
Jung District	Daegu	77095	7.06	4216.222902	37.5641	126.9979							
Dong District	Daegu	341616	182.22	723.8427222	35.874008	128.60054							
Seo District	Daegu	223681	17.48	4940.714042	35.8718	128.5591							
Nam District	Daegu	169765	17.44	3758.406309	37.4637	126.6505							
Buk District	Daegu	450852	94.09	1850.088839	35.1971	128.9904							
Suseong District	Daegu	461473	76.46	2330.311905	35.8507531	128.6294876							
Dalseo District	Daegu	606178	62.34	3754.355761	35.8299	128.5328							
Daedeok District	Daejeon	207312	68.45	1169.372941	36.3467	127.4156							
Dong District	Daejeon	248344	136.61	701.8967505	36.322735	127.469253							
Jung District	Daejeon	77095	7.06	4216.222902	36.32388888	172.4208333							
Seo District	Daejeon	223681	17.48	4940.714042	36.28716	127.343936							
Yuseong District	Daejeon	288618	177.27	628.6229313	36.372466	127.320119							
Deogyang-gu	Goyang	393479	165.51	917.9084578	37.6373119	126.8322701							
Ilsandong-gu	Goyang	275159	59.13	1796.709627	37.6588718	126.7750255							
Ilsanseo-gu	Goyang	289745	42.77	2615.644704	37.6751449	126.7504457							
Buk District	Gwangju	469045	121.74	1487.590049	35.176158	126.901286							
Dong District	Gwangju	101582	48.86	802.7223366	35.117379	126.949172							
Gwangsan District	Gwangju	370527	222.91	641.7891335	35.166732	126.747692							
Nam District	Gwangju	217934	61.02	1378.970063	35.083931	126.834337							
Seo District	Gwangju	302280	46.71	2498.627972	35.139977	126.851071							
Bupyeong District	Incheon	562110	31.99	6784.363714	37.49708	126.720275							
Dong District	Incheon	79624	7.19	4275.797726	37.485253	126.632017							
Gyeyang District	Incheon	345671	45.58	2928.132173	37.554328	126.738282							
Jung District	Incheon	93520	123.09	293.3484364	37.480043	126.475233							
Nam District	Incheon	419683	24.85	6520.74228	37.453374	126.661745							
Namdong District	Incheon	491038	56.99	3326.737215	37.431954	126.725787							
Seo District	Incheon	420939	113.91	1426.787725	37.557218	126.635227							
Yeonsu District	Incheon	283840	42.74	2564.136445	37.384037	126.643764							
Deokjin-gu	Jeonju	283813	110.79	989.085359	35.83429	127.146377							
Wansan-gu	Jeonju	361038	95.22	1463.951837	35.8121	127.1199							
Buk-gu	Pohang	262581	393.33	257.7556994	36.0418	129.3656							
Nam-gu	Pohang	253278	735.48	132.9623407	35.945379	129.431044							
Bundang-gu	Seongnam	485767	69.35	2704.478879	37.3821823	127.1202125							
Jungwon-gu	Seongnam	256298	26.38	3751.219499	37.430692	127.137025							
Sujeong-gu	Seongnam	237986	45.99	1997.975007	37.4503386	127.1462933							
Dobong District	Seoul	366879	20.7	6843.12636	37.61868	127.02925							
Dongdaemun District	Seoul	366633	14.2	9968.854547	37.5744	127.04							
Dongjak District	Seoul	402567	16.35	9506.539684	37.49886	126.91821							
Eunpyeong District	Seoul	491741	29.71	6390.514426	37.6027	126.9291							
Gangbuk District	Seoul	345502	23.61	5650.106447	37.6396	127.0257							
Gangdong District	Seoul	496364	24.58	7796.872788	37.5301	127.1238							
Gangnam District	Seoul	570392	39.54	5569.789883	37.5183988	127.0472587							
Gangseo District	Seoul	571526	41.42	5327.555086	37.551	126.8495							
Geumcheon District	Seoul	243280	13.01	7219.899659	37.4519	126.902							
Guro District	Seoul	422322	20.12	8104.342388	37.51431	126.90129							
Gwanak District	Seoul	529195	29.57	6909.81562	37.4784	126.9516							
Gwangjin District	Seoul	373608	17.05	8460.457244	37.5385	127.0823							
Jongno District	Seoul	169217	23.91	2732.539612	37.573	126.9794							
Jung District	Seoul	132224	9.96	5125.697876	37.5641	126.9979							
Jungnang District	Seoul	425668	18.51	8879.052736	37.6066	127.0927							
Mapo District	Seoul	392635	23.87	6350.949257	37.54663	126.94077							
Nowon District	Seoul	605756	35.44	6599.424467	37.6542	127.0568							
Seocho District	Seoul	432934	47	3556.525176	37.4837	127.0324							
Seodaemun District	Seoul	318467	17.6	6986.406002	37.60317	126.92541							
Seongbuk District	Seoul	488036	24.57	7669.176869	37.61868	127.02925							
Seongdong District	Seoul	127748	16.85	2927.226012	37.5479	127.06236							
