Time: 0 | Identified: (37.2346269, 127.2016757)
Time: 1 | Identified: (35.1044, 35.1044)
Time: 2 | Identified: (35.1971, 128.9904)
Time: 3 | Identified: (36.32388888, 172.4208333)
Time: 4 | Identified: (37.573, 126.9794)
Time: 5 | Identified: (35.117379, 126.949172)
Time: 6 | Identified: (36.3467, 127.4156)
Time: 7 | Identified: (35.874008, 128.60054)
Time: 8 | Identified: (35.611377, 129.387634)
Time: 9 | Identified: (36.32388888, 172.4208333)
Time: 10 | Identified: (37.557218, 126.635227)
Time: 11 | Identified: (35.1044, 35.1044)
Time: 12 | Identified: (37.5479, 127.06236)
Time: 13 | Identified: (36.644984, 127.4523884)
Time: 14 | Identified: (35.1357981, 128.7230668)
Time: 15 | Identified: (35.83429, 127.146377)
Time: 16 | Identified: (35.945379, 129.431044)
Time: 17 | Identified: (36.8068933, 127.1506027)
Time: 18 | Identified: (35.1971, 128.9904)
Time: 19 | Identified: (36.32388888, 172.4208333)
Time: 20 | Identified: (37.573, 126.9794)
Time: 21 | Identified: (35.1044, 35.1044)
Time: 22 | Identified: (37.557218, 126.635227)
Time: 23 | Identified: (36.322735, 127.469253)
Time: 24 | Identified: (36.32388888, 172.4208333)
Time: 25 | Identified: (37.573, 126.9794)
Time: 26 | Identified: (35.83429, 127.146377)
Time: 27 | Identified: (35.1044, 35.1044)
Time: 28 | Identified: (35.1308487, 128.5139656)
Time: 29 | Identified: (34.9912162, 128.8505164)
Time: 30 | Identified: (35.117379, 126.949172)
Time: 31 | Identified: (35.1971, 128.9904)
Time: 32 | Identified: (36.32388888, 172.4208333)
Time: 33 | Identified: (35.874008, 128.60054)
Time: 34 | Identified: (37.573, 126.9794)
Time: 35 | Identified: (37.52361, 126.96928)
Time: 36 | Identified: (37.573, 126.9794)
Time: 37 | Identified: (37.480043, 126.475233)
Time: 38 | Identified: (36.6220081, 127.5005974)
Time: 39 | Identified: (37.557218, 126.635227)
Time: 40 | Identified: (36.3467, 127.4156)
Time: 41 | Identified: (35.1044, 35.1044)
Time: 42 | Identified: (35.1357981, 128.7230668)
Time: 43 | Identified: (37.573, 126.9794)
Time: 44 | Identified: (36.32388888, 172.4208333)
Time: 45 | Identified: (35.3054245, 128.6387065)
Time: 46 | Identified: (36.0418, 129.3656)
Time: 47 | Identified: (35.1971, 128.9904)
Time: 48 | Identified: (35.3054245, 128.6387065)
Time: 49 | Identified: (37.573, 126.9794)
Time: 50 | Identified: (35.611377, 129.387634)
Time: 51 | Identified: (35.1044, 35.1044)
Time: 52 | Identified: (35.83429, 127.146377)
Time: 53 | Identified: (36.32388888, 172.4208333)
Time: 54 | Identified: (35.176158, 126.901286)
Time: 55 | Identified: (35.176158, 126.901286)
Time: 56 | Identified: (37.573, 126.9794)
Time: 57 | Identified: (37.557218, 126.635227)
Time: 58 | Identified: (37.485253, 126.632017)
Time: 59 | Identified: (37.485253, 126.632017)
Time: 60 | Identified: (37.485253, 126.632017)
Time: 61 | Identified: (37.485253, 126.632017)
Time: 62 | Identified: (36.6647914, 127.489736)
Time: 63 | Identified: (36.3467, 127.4156)
Time: 64 | Identified: (36.32388888, 172.4208333)
Time: 65 | Identified: (35.1044, 35.1044)
Time: 66 | Identified: (37.573, 126.9794)
Time: 67 | Identified: (35.1971, 128.9904)
Time: 68 | Identified: (35.1526, 128.9908)
Time: 69 | Identified: (35.1526, 128.9908)
Time: 70 | Identified: (35.163, 129.0532)
Time: 71 | Identified: (35.163, 129.0532)
Time: 72 | Identified: (35.163, 129.0532)
Time: 73 | Identified: (35.874008, 128.60054)
Time: 74 | Identified: (36.8783935, 127.1552727)
Time: 75 | Identified: (35.1308487, 128.5139656)
Time: 76 | Identified: (37.485253, 126.632017)
Time: 77 | Identified: (35.163, 129.0532)
Time: 78 | Identified: (37.480043, 126.475233)
Time: 79 | Identified: (35.176158, 126.901286)
Time: 80 | Identified: (36.8068933, 127.1506027)
Time: 81 | Identified: (36.32388888, 172.4208333)
Time: 82 | Identified: (37.573, 126.9794)
Time: 83 | Identified: (35.1044, 35.1044)
Time: 84 | Identified: (36.0418, 129.3656)
Time: 85 | Identified: (35.163, 129.0532)
Time: 86 | Identified: (37.485253, 126.632017)
Time: 87 | Identified: (35.83429, 127.146377)
Time: 88 | Identified: (35.1357981, 128.7230668)
Time: 89 | Identified: (37.573, 126.9794)
Time: 90 | Identified: (37.61868, 127.02925)
Time: 91 | Identified: (37.5641, 126.9979)
Time: 92 | Identified: (37.5641, 126.9979)
Time: 93 | Identified: (37.6027, 126.9291)
Time: 94 | Identified: (37.5641, 126.9979)
Time: 95 | Identified: (37.5641, 126.9979)
Time: 96 | Identified: (37.5641, 126.9979)
Time: 97 | Identified: (37.5641, 126.9979)
Time: 98 | Identified: (37.54663, 126.94077)
Time: 99 | Identified: (37.5641, 126.9979)
Time: 100 | Identified: (36.3467, 127.4156)
